business_name,address,mall_center,city,state,zip,mall
JUST FUN,591  MEMORIAL DR.,FAIRFIELD MALL,CHICOPEE FALLS,MA,01020-5007,True
STAR MUSIC,27  MEADOW RD.,,EAST LONGMEADOW,MA,01028-,False
DREAM MACHINE,341  RUSSELL ST.,HAMPSHIRE MALL,HADLEY,MA,01035-9528,True
JUST FUN,335  RUSSELL ST.,MOUNTAIN FARMS MALL,HADLEY,MA,01035-9547,True
PIONEER VALLEY AMUSEMENT,90  SARGENT,,HOLYOKE,MA,01040-,False
JUST GAMES,,HOLYOKE MALL,HOLYOKE,MA,01040-,True
FUN TOO,50  WHITING FARMS RD. EXT.,INGLESIDE MALL,HOLYOKE,MA,01040-2703,True
RUSSELL-HALL VENDING SERVICE,116  RACE ST.,,HOLYOKE,MA,01040-5892,False
BECKER AMUSEMENT,"75  STATE ST., P O BOX 405",,LUDLOW,MA,01056-0405,False
SKOP VENDING SERVICE,120  NORTHWEST RD.,,WESTFIELD,MA,01085-,False
STAN-MAR VENDORS,2460  BOSTON RD.,,WILBRAHAM,MA,01095-1106,False
PLAYTOWN AMUSEMENTS,1673  MAIN ST.,,SPRINGFIELD,MA,01103-1213,False
S & M VENDORS,644  MAIN ST.,,SPRINGFIELD,MA,01105-2414,False
DREAM MACHINE,1655  BOSTON RD.,EASTFIELD MALL,SPRINGFIELD,MA,01129-1130,True
P M VENDING,597  WILLIAMS,,PITTSFIELD,MA,01201,False
BERKSHIRE VENDING,38  PLEASANT ST.,,PITTSFIELD,MA,01201-4831,False
BURRIS VENDING,518  EAST ST.,,PITTSFIELD,MA,01201-5309,False
ALL SEASONS SERVICES,243-1/2  COLUMBIA ST.,,ADAMS,MA,01220-1305,False
JUST FUN,,OLD HWY. 8,LANESBORO,MA,01237,False
PIN BALL HIGH,71  MAIN ST.,,LEE,MA,01238-,False
PLAYMOR MUSIC,"111  HOPE ST. # R, P O BOX 791",,GREENFIELD,MA,01302-,False
SAZAMA MUSIC,19  DAVIS ST.,,TURNERS FALLS,MA,01376-1920,False
A TO Z QUALITY VENDING,8  DAY ST. (rear),,FITCHBURG,MA,01420-4316,False
VIANA DISTRIBUTING,365  SUMMER ST.,,FITCHBURG,MA,01420-5954,False
AYER AMUSEMENT,48  MAIN ST.,,AYER,MA,01432-1339,False
DREAM MACHINE,,SEARSTOWN MALL,LEOMINSTER,MA,01453-3327,True
MONTACHUSETT VENDING,325  LANCASTER ST.,,LEOMINSTER,MA,01453-4329,False
VIDEO WORLD,431  ELECTRIC AVE.,,LUNENBURG,MA,01462-2246,False
SAWYER SNACK SERVICES,780  MAIN ST.,,HOLDEN,MA,01520-1805,False
MILLBURY AMUSEMENT CENTER,,SOUTHWEST CUT-OFF (HWY. 20),MILLBURY,MA,01527-,True
ALL SEASONS SERVICES,40  WEST ST.,,SOUTHBRIDGE,MA,01550-1697,False
DUGAS VENDING,26  POLAND ST.,DUGAS MUSIC,WEBSTER,MA,01570-2799,False
MELO-TONE VENDING,66  SOUTHGATE ST.,,WORCESTER,MA,01603-2828,False
PINS & NEEDLES,5  FLOWER ST.,,WORCESTER,MA,01604-,False
DREAM MACHINE,124  WORCESTER CENTER BL.,,WORCESTER,MA,01604-4017,False
I T VENDING & NOVELTY,163  SHREWSBURY ST.,,WORCESTER,MA,01604-4610,False
AL FAINI VENDING,28  WILDE AVE.,,FRAMINGHAM,MA,01701-,False
PUTT-PUTT GOLF,,HWY. 9 & HWY. 30,FRAMINGHAM,MA,01701-,False
GOLF ON THE VILLAGE GREEN,50  WORCESTER RD.,,FRAMINGHAM,MA,01701-,True
FUN-N-GAMES,50  WORCESTER RD.,,FRAMINGHAM,MA,01701-2214,False
IDEAL AMUSEMENT,17  BRYANT RD.,,FRAMINGHAM,MA,01701-4404,False
NEW ENGLAND PROFIT,"31  GRANITE ST. # 4, P O BOX 520",,MILFORD,MA,01757-,False
WOBURN VENDING,11  WHEELING AVE.,,WOBURN,MA,01801-2095,False
SILVER CUE,435  MAIN ST.,,WOBURN,MA,01801-4239,False
A & G AMUSEMENT,155  NEW BOSTON ST.,,WOBURN,MA,01801-6201,False
FUN TIME,490  BOSTON RD.,,BILLERICA,MA,01821-2710,False
DIAMOND MUSIC & VENDING,125  ESSEX ST.,,LAWRENCE,MA,01840-1605,False
GOLDEN CUE,539  HAMPSHIRE ST.,,LAWRENCE,MA,01841-1041,False
MARTIN AMUSEMENT,461  HAMPSHIRE ST.,,LAWRENCE,MA,01841-2428,False
TOWN & COUNTRY VENDING,360  MERRIMACK,,LAWRENCE,MA,01843-6538,False
DREAM MACHINE,90  PLEASANT VALLEY ST.,METHUEN MALL,METHUEN,MA,01844-7212,True
TILT SHOP,41  BRIDGE ST.,,LOWELL,MA,01852-1220,False
LOWELL AMUSEMENT,321  BROADWAY RD.,,DRACUT,MA,01856-2706,False
ACT I VIDEO,27  ELM ST.,,TYNGSBORO,MA,01879-1311,False
MERRIMACK AMUSEMENT,4  BOBOLINK RD.,,WESTFORD,MA,01886-,False
CHARLIE HORSE,377  LYNNWAY,,LYNN,MA,01901-1707,False
PALLADIN FAMILY ENTERTAINMENT CENTER,475  LYNNWAY,,LYNN,MA,01905-,True
LYNNWAY RECREATION CENTER,497  LYNNWAY,,SAUGUS,MA,01905-3009,True
SAL'S GAMES,244  ELLIOTT ST.,,BEVERLY,MA,01915-2419,False
GREGG MUSIC & VENDING,5  DANE ST. W.,,BEVERLY,MA,01915-4308,False
ALADDIN'S CASTLE,1  INDEPENDENCE WY.,LIBERTY TREE MALL,DANVERS,MA,01923-3610,True
A P VENDING,15  NEWMARCH ST.,,IPSWITCH,MA,01938-2434,False
SPACE CENTER SOUTH,24  OCEAN FRONT,,SALISBURY,MA,01950,True
R & F ENTERPRISES,,MIDWAY ARCADE,SALISBURY BEACH,MA,01950-,True
JOMAR SALES & VENDING,3  1st AVE.,,PEABODY,MA,01960-,False
FUN TIME,,NORTHSHORE SHOPPING CENTER,PEABODY,MA,01960-1626,True
LEE ENTERPRISES,21  DANIELS,,FOXBORO,MA,02035,False
ROYAL VENDING MACHINE,350  LINCOLN ST. # 1,,HINGHAM,MA,02043-,False
UNIVEND,672  PLEASANT ST.,,WESTWOOD,MA,02062-4604,False
M N B VENDING,"2  PERRY, P O BOX 287",,STOUGHTON,MA,02072-,False
